Date,Open,High,Low,Close,Volume,Market_Cap,Tomorrow,Target
2023-05-05,28851.479661785383,29668.90767712088,28845.51053371511,29534.384019704958,17936566518.34,571935354879.7,28904.623949070778,0
2023-05-04,29031.304447754515,29353.18465956154,28694.03902468949,28847.711590655163,15548678513.55,558617183940.51,29534.384019704958,1
2023-05-03,28680.494409624956,29259.533287999457,28178.3892452007,29006.30767090857,19122972518.31,561661086030.57,28847.711590655163,0
2023-05-02,28087.17496979201,28881.298380463573,27924.12367498072,28680.53696791293,16432924526.63,555325979264.04,29006.30767090857,1
2023-05-01,29227.10398190992,29329.93622110556,27680.792639691088,28091.56880389237,18655599976.36,543900696259.74,28680.53696791293,1
2023-04-30,29245.51551246229,29952.02855265972,29114.02123627784,29268.80704316256,14652199272.27,566661285145.37,28091.56880389237,0
2023-04-29,29336.567035251155,29452.455244901885,29088.042336489525,29248.48837291757,10662634332.91,566240497928.76,29268.80704316256,1
2023-04-28,29481.013535027447,29572.791692792915,28929.60854188226,29340.262498158005,17544464887.25,567993007155.91,29248.48837291757,0
2023-04-27,28428.464278678897,29871.54635164288,28402.88738665169,29473.78618367284,27153445027.31,570550222405.71,29340.262498158005,0
2023-04-26,28300.05927438531,29995.83849111743,27324.54900652393,28422.70087849232,31854242019.49,550180352607.55,29473.78618367284,1
2023-04-25,27514.87239121884,28371.077696197783,27207.932556740943,28307.59809066535,17733373139.17,547928945542.45,28422.70087849232,1
2023-04-24,27591.729521890476,27979.98190066292,27070.849499552543,27525.33949959111,17703288330.24,532766516006.96,28307.59809066535,1
2023-04-23,27816.144792576142,27820.24449092755,27400.31373586768,27591.38463190681,12785446832.04,534020212996.71,27525.33949959111,0
2023-04-22,27265.89501625829,27872.143167903887,27169.57112040993,27817.500917437257,13125734602.38,538371205878.3,27591.38463190681,0
2023-04-21,28249.231270723743,28349.96785770845,27177.365299574205,27276.909687575568,20759504329.87,527883377617.69,27817.500917437257,1
2023-04-20,28823.682862437203,29076.401048519936,28037.25725722351,28245.98731049337,21340360359.79,546611911812.66,27276.909687575568,0
2023-04-19,30394.187904359267,30411.053790876467,28669.898268151563,28822.680472900887,24571565420.76,557748035703.28,28245.98731049337,0
2023-04-18,29449.0917046267,30470.30201473813,29154.84937086217,30397.55273552258,19480529496.02,588197752221.23,28822.680472900887,0
2023-04-17,30317.1456974152,30319.196576603867,29275.371057633616,29445.044904962764,17872186762.03,569735854496.74,30397.55273552258,1
2023-04-16,30315.976416622238,30555.53763344086,30157.832325260348,30315.35545612029,12854816416.5,586546802552.23,29445.044904962764,0
2023-04-15,30490.74927242369,30601.740164292667,30245.881938715997,30318.496953064558,11940685377.62,586582359795.4,30315.35545612029,0
2023-04-14,30409.5616914944,31005.608044472887,30044.497509619017,30485.700029255324,22659995079.31,589786626446.89,30318.496953064558,0
2023-04-13,29892.73945987711,30539.846481282515,29878.622163408105,30399.066385491835,17487721001.39,588084165990.41,30485.700029255324,1
2023-04-12,30231.581623239563,30462.480941487043,29725.57335015844,30139.052871052005,18651929926.37,583034311648.57,30399.066385491835,1
2023-04-11,29653.679647445995,30509.083666456423,29609.301368034943,30235.058938955262,20121259843.07,584854674446.17,30139.052871052005,0
2023-04-10,28336.028237401144,29771.463928909958,28189.270771369436,29652.98009708406,19282400094.3,573568312635.13,30235.058938955262,1
2023-04-09,27952.367615612475,28532.82996927808,27828.481410543493,28333.050047624925,12175322950.95,548015190714.46,29652.98009708406,1
2023-04-08,27920.512778528697,28159.862779875504,27883.386552621025,27947.79454969423,9373255556.0,540536533674.58,28333.050047624925,1
2023-04-07,28038.9669696205,28111.59328412164,27794.03182581009,27925.859408412933,10861680497.27,540086456069.02,27947.79454969423,1
2023-04-06,28175.22707737488,28178.384312375736,27738.759361405984,28044.139754944128,13837809380.28,542349825341.83,27925.859408412933,0
2023-04-05,28169.726952853987,28739.23811065357,27843.76449542776,28177.9835569508,17052315986.14,544910072721.85,28044.139754944128,0
2023-04-04,27795.274323998936,28433.74297599721,27681.30505661409,28168.0898164027,15284538858.55,544693901827.85,28177.9835569508,1
2023-04-03,28183.0803582438,28475.622507498865,27276.71994880969,27790.220854773645,19556501326.93,537360742269.69,28168.0898164027,1
2023-04-02,28462.84480111605,28518.958407845254,27884.087091328583,28199.308383774474,12284641999.34,545245950698.05,27790.220854773645,0
2023-04-01,28473.331801197142,28802.45747844686,28297.172497645388,28411.03424309244,10876469900.68,549318113504.07,28199.308383774474,0
2023-03-31,28032.2622677886,28639.896083757507,27583.715260068304,28478.48460568044,19001327597.88,550593053896.62,28411.03424309244,0
2023-03-30,28350.141491187987,29159.90261786623,27720.15933761617,28033.563150395665,22435349950.56,541964802720.42,28478.48460568044,1
2023-03-29,27267.03217460021,28619.543388800823,27259.66118041008,28348.442342812003,20684945905.97,548025510532.62,28033.563150395665,0
2023-03-28,27132.888921445134,27460.7194594252,26677.81872811284,27268.131482914527,17783600384.84,527117850100.66,28348.442342812003,1
2023-03-27,27994.067923252504,28037.925860641368,26606.689001139537,27139.88853052214,18188895177.73,524615890807.42,27268.131482914527,1
2023-03-26,27495.52395825096,28178.144437213232,27445.046354925245,27994.32951422271,13878363191.96,541106062437.58,27139.88853052214,0
2023-03-25,27487.337738386257,27791.825602760004,27196.233829504792,27494.706878377543,13383005987.37,531424045822.58,27994.32951422271,1
2023-03-24,28324.11169520493,28388.437745563944,27039.2654315026,27493.285143623496,25980310960.02,531370969956.36,27494.706878377543,1
2023-03-23,27301.957494354938,28729.843469678315,27183.36374070728,28333.972711378767,24220433689.12,547590658474.12,27493.285143623496,0
2023-03-22,28158.71999180612,28803.33592066941,26759.99623312224,27307.436768413278,33382021889.86,527720639354.35,28333.972711378767,1
2023-03-21,27768.39203181537,28439.561588710232,27439.647094150285,28175.816835424943,36102192830.48,544473344614.66,27307.436768413278,0
2023-03-20,28041.601917494198,28527.72422274135,27242.880702919123,27767.2363318262,44774027663.55,536553055078.31,28175.816835424943,1
2023-03-19,26969.503787812773,28440.561217258277,26907.71627371266,28038.674946765103,37769448858.69,541771324421.11,27767.2363318262,0
2023-03-18,27448.117269610462,27725.953416209864,26636.26094597528,26965.87975702664,35723036817.12,521018360376.26,28038.674946765103,1
2023-03-17,25055.12321927001,27787.812225225494,24955.169055285627,27423.9306340492,50730261335.05,529839581714.46,26965.87975702664,0
2023-03-16,24373.45661701733,25190.32698449262,24225.110958628266,25052.78972174803,33866061746.62,484005642386.83,27423.9306340492,1
2023-03-15,24770.925668702967,25240.61581834853,23964.909846876988,24375.96135783125,43655701450.2,470908667056.64,25052.78972174803,1
2023-03-14,24201.76600614591,26514.71716552845,24081.18265166227,24746.07465884773,54622230163.97,478037073214.71,24375.96135783125,0
2023-03-13,22156.406675322058,24550.83748576133,21918.199930890016,24197.5329977753,49466362688.47,467417380966.85,24746.07465884773,1
2023-03-12,20628.029034458348,22185.03111087706,20448.80626107676,22163.94995191503,29279035521.01,428114557464.91,24197.5329977753,1
2023-03-11,20187.877074733235,20792.525692444524,20068.66031241524,20632.409629392565,30180288175.61,398509689462.45,22163.94995191503,1
2023-03-10,20367.00177713576,20370.595398116,19628.254309420507,20187.243647616287,39578257695.31,389890609883.9,20632.409629392565,1
2023-03-09,21720.07931756107,21802.71668117176,20210.3067467507,20363.021111725368,30364664170.83,393268847887.5,20187.243647616287,0
2023-03-08,22216.442321102208,22268.896252187904,21708.050506040505,21718.079830432067,22536575684.49,419421447158.25,20363.021111725368,0
2023-03-07,22428.32238968881,22527.41864168071,22011.262496656876,22219.76907094175,22765452203.97,429090671120.0,21718.079830432067,0
2023-03-06,22436.81677589737,22584.293808702278,22331.314828369683,22429.75753334634,17353192895.19,433122543176.49,22219.76907094175,0
2023-03-05,22354.14359815582,22613.685230682047,22307.14331342213,22435.514196973487,13317001732.58,433216160786.45,22429.75753334634,0
